Formula,Predicted H(HV),Predicted D(%),Composition,Al,Si,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Nb,Mo
Co1 Cr0.677 Fe0.355 Nb0.226 Ni1,314,47.8,Co1 Cr0.677 Fe0.355 Nb0.226 Ni1,0.0,0.0,0.0,0.0,0.2077961939840393,0.0,0.10896255371393493,0.3069367710251688,0.3069367710251688,0.0,0.06936771025168816,0.0
Co1 Cr0.68 Fe0.72 Mn0.48 Si0.12 V0.96,652,44.3,Co1 Cr0.68 Fe0.72 Mn0.48 Si0.12 V0.96,0.0,0.0303030303030303,0.0,0.2424242424242424,0.1717171717171717,0.1212121212121212,0.1818181818181818,0.2525252525252525,0.0,0.0,0.0,0.0
Co1 Cr0.683 Fe0.634 Si0.122,292,60.5,Co1 Cr0.683 Fe0.634 Si0.122,0.0,0.050020500205002046,0.0,0.0,0.2800328003280033,0.0,0.25994259942599424,0.4100041000410004,0.0,0.0,0.0,0.0
Co1 Cr0.69 Fe0.793 Mn0.207 Ni0.586 Si0.172,192,62.1,Co1 Cr0.69 Fe0.793 Mn0.207 Ni0.586 Si0.172,0.0,0.04988399071925754,0.0,0.0,0.20011600928074244,0.060034802784222734,0.22998839907192578,0.2900232018561485,0.169953596287703,0.0,0.0,0.0
Co1 Cr0.692 Nb0.128 V0.744,762,17.4,Co1 Cr0.692 Nb0.128 V0.744,0.0,0.0,0.0,0.29017160686427457,0.2698907956318252,0.0,0.0,0.39001560062402496,0.0,0.0,0.0499219968798752,0.0
Co1 Cr0.703 Fe0.784 Nb0.216,432,46.4,Co1 Cr0.703 Fe0.784 Nb0.216,0.0,0.0,0.0,0.0,0.2600813910469848,0.0,0.2900480947095819,0.36995930447650754,0.0,0.0,0.07991120976692563,0.0
Co1 Cr0.731 Fe0.923 Mo0.154 Nb0.192 V0.846,857,22.2,Co1 Cr0.731 Fe0.923 Mo0.154 Nb0.192 V0.846,0.0,0.0,0.0,0.21996879875195008,0.19006760270410816,0.0,0.23998959958398336,0.26001040041601664,0.0,0.0,0.0499219968798752,0.04004160166406656
Co1 Cr0.737 Fe0.553 Ti0.342,860,24.2,Co1 Cr0.737 Fe0.553 Ti0.342,0.0,0.0,0.12993920972644377,0.0,0.28001519756838905,0.0,0.21010638297872342,0.37993920972644374,0.0,0.0,0.0,0.0
Co1 Cr0.742 Fe0.935 Ti0.581,802,15.3,Co1 Cr0.742 Fe0.935 Ti0.581,0.0,0.0,0.17833026396562307,0.0,0.22774708410067526,0.0,0.28698588090853283,0.3069367710251688,0.0,0.0,0.0,0.0
Co1 Cr0.903 Fe0.935 Ti0.387,847,29.6,Co1 Cr0.903 Fe0.935 Ti0.387,0.0,0.0,0.12,0.0,0.28,0.0,0.289922480620155,0.31007751937984496,0.0,0.0,0.0,0.0
Co1 Cr0.931 Fe0.759 Ti0.276 V0.483,803,21.5,Co1 Cr0.931 Fe0.759 Ti0.276 V0.483,0.0,0.0,0.08002319512902291,0.14004059147579007,0.2699333140040591,0.0,0.22006378660481296,0.28993911278631485,0.0,0.0,0.0,0.0
Co1 Cr0.96 Fe0.84 Nb0.2 Ni1,216,51.7,Co1 Cr0.96 Fe0.84 Nb0.2 Ni1,0.0,0.0,0.0,0.0,0.24,0.0,0.21,0.25,0.25,0.0,0.05,0.0
Co1 Cu0.341 Fe0.707 Nb0.39,484,23.3,Co1 Cu0.341 Fe0.707 Nb0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.28999179655455287,0.4101722723543888,0.0,0.1398687448728466,0.15996718621821165,0.0
Co1 Cu0.75 Fe0.969 Nb0.438,417,28.4,Co1 Cu0.75 Fe0.969 Nb0.438,0.0,0.0,0.0,0.0,0.0,0.0,0.3069369654735508,0.31675641431738993,0.0,0.23756731073804244,0.1387393094710168,0.0
Co1 Fe0.659 Mn0.409 Nb0.205,242,38.7,Co1 Fe0.659 Mn0.409 Nb0.205,0.0,0.0,0.0,0.0,0.0,0.17993840739111305,0.289925208974923,0.43994720633523976,0.0,0.0,0.09018917729872414,0.0
Co1 Fe0.861 Mn0.611 Nb0.306,402,29.1,Co1 Fe0.861 Mn0.611 Nb0.306,0.0,0.0,0.0,0.0,0.0,0.21994240460763137,0.3099352051835853,0.3599712023038157,0.0,0.0,0.1101511879049676,0.0
Co1 Fe0.966 Nb0.483 V1,795,8.9,Co1 Fe0.966 Nb0.483 V1,0.0,0.0,0.0,0.2899391127863149,0.0,0.0,0.2800811829515802,0.2899391127863149,0.0,0.0,0.1400405914757901,0.0
