Unnamed: 0,Composition,ElemSortAMU,GBTPredict,AWEMLPredict,lnPeqo,dH,dS,Al,Ti,V,Cr,Zr,Nb,Mo,Pd,Hf,Ta
53,Al1 Zr1 Ti1 Hf1,AlTiZrHf,SS,SS,-10.9839988064071,54.0706556986859,127.25845931698,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0
54,Al1 Zr1 Mo1 V1,AlVZrMo,SS,SS,-3.18788653306632,36.1052290566943,82.010130019261,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0
55,Al1 Zr1 Mo1 Pd1,AlZrMoPd,SS,SS,-2.4551525906288,34.6614287036556,85.7454756997104,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
56,Al1 Zr1 Mo1 Nb1,AlZrNbMo,SS+IM,SS,-3.21230667316932,34.8380927062465,83.8361487732038,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
57,Al1 Zr1 Mo1 Hf1,AlZrMoHf,SS,SS,-7.06739717659007,41.6139574116821,88.7347281972202,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0
58,Al1 Zr1 V1 Pd1,AlVZrPd,SS+IM,IM,-3.93972280704545,42.1060393449186,110.100583369863,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0
59,Al1 Zr1 V1 Nb1,AlVZrNb,SS,SS,-9.06869546682423,51.3133908396585,88.1358189633354,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0
60,Al1 Zr1 V1 Hf1,AlVZrHf,SS,SS,-11.1480533600012,53.7650443046084,86.3451971030796,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0
61,Al1 Zr1 Pd1 Nb1,AlZrNbPd,SS,SS,-4.0229431503403,38.7195144467818,95.1760498294765,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0
62,Al1 Zr1 Pd1 Hf1,AlZrPdHf,SS,SS,-7.83695922448715,46.1525376884519,97.5233904018344,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0
63,Al1 Zr1 Nb1 Hf1,AlZrNbHf,SS,SS,-11.1106443962033,54.3162800042084,90.038499655645,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0
64,Al1 Ti1 Mo1 V1,AlTiVMo,SS,SS,-2.49010177966721,36.5014955868668,81.9218139125868,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0
65,Al1 Ti1 Mo1 Pd1,AlTiMoPd,SS,SS,-2.79428855434994,36.1845792872208,83.7620529813575,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0
66,Al1 Ti1 Mo1 Nb1,AlTiNbMo,SS,SS,-3.99240601008444,38.6797227216281,81.9627608453121,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0
67,Al1 Ti1 Mo1 Hf1,AlTiMoHf,SS,SS,-4.60456597253884,38.2018268934519,86.155283361508,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
68,Al1 Ti1 V1 Pd1,AlTiVPd,SS,SS,-2.93179769953215,43.3130214510962,113.334237401824,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0
69,Al1 Ti1 V1 Nb1,AlTiVNb,SS,SS,-4.26512466242422,47.0757944002943,96.1515684444653,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0
70,Al1 Ti1 V1 Hf1,AlTiVHf,SS,SS,-10.7321736450323,54.2187017722592,84.6246511395162,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0
71,Al1 Ti1 Pd1 Nb1,AlTiNbPd,SS,SS,-3.92058136033728,41.8890487832996,95.4199306864585,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0
72,Al1 Ti1 Pd1 Hf1,AlTiPdHf,SS,SS,-5.15750842877125,40.0235705338876,96.0207534021098,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0
73,Al1 Ti1 Nb1 Hf1,AlTiNbHf,SS,SS,-10.9974965734864,54.9134375631088,86.8213886571841,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0
74,Al1 Mo1 V1 Pd1,AlVMoPd,SS,SS,-3.23115962623402,36.1243268093916,82.7122652223337,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0
75,Al1 Mo1 V1 Nb1,AlVNbMo,SS,IM,-3.35502430944806,35.6604559156428,82.9036748319104,0.25,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0
76,Al1 Mo1 V1 Hf1,AlVMoHf,SS,SS,-3.03800209802102,36.7455699050607,81.9766573001429,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0
77,Al1 Mo1 Pd1 Nb1,AlNbMoPd,SS,SS,-3.58449272726394,35.7860736502071,83.9908672796284,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0
78,Al1 Mo1 Pd1 Hf1,AlMoPdHf,SS,SS,-2.23034788170192,35.5765178435543,88.0972336709156,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0
79,Al1 Mo1 Nb1 Hf1,AlNbMoHf,SS,SS,-2.89763875689773,34.3354954085039,82.3651443415408,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0
80,Al1 V1 Pd1 Nb1,AlVNbPd,SS+IM,SS,-3.13185961127941,38.8343440415381,95.3505681009352,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
81,Al1 V1 Pd1 Hf1,AlVPdHf,SS,SS,-4.14206888381416,39.2810120812198,95.1917454594155,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0
82,Al1 V1 Nb1 Hf1,AlVNbHf,SS,SS,-8.73974898670881,52.6683164458872,88.3847453046545,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
83,Al1 Pd1 Nb1 Hf1,AlNbPdHf,SS,SS,-3.52350257128995,39.1630253507198,95.8983276367322,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0
84,Cr1 Ta1 Zr1 Ti1,TiCrZrTa,SS,SS,-11.9964574445975,56.4987592829275,84.8468981831617,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25
85,Cr1 Ta1 Zr1 Mo1,CrZrMoTa,SS+IM,SS,-2.94170311132025,35.7783067181417,85.9923072926683,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.25
86,Cr1 Ta1 Zr1 V1,VCrZrTa,SS,SS,-7.71126683836111,52.1311276948548,90.4792212865917,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25
87,Cr1 Ta1 Zr1 Pd1,CrZrPdTa,SS,SS,-4.75007555811404,43.4263374216642,106.020695715564,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.25
88,Cr1 Ta1 Zr1 Nb1,CrZrNbTa,SS+IM,SS+IM,-9.85847618411787,51.880372085294,90.6344091332743,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25
89,Cr1 Ta1 Zr1 Hf1,CrZrHfTa,SS,SS,-11.339035237458,55.146535837924,86.121443169814,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25
90,Cr1 Ta1 Ti1 Mo1,TiCrMoTa,SS+IM,SS,-5.85006727840846,40.3792636036443,87.2796082923999,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25
91,Cr1 Ta1 Ti1 V1,TiVCrTa,SS,SS,-5.55970823242171,47.1595003623475,95.6590715483277,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
92,Cr1 Ta1 Ti1 Pd1,TiCrPdTa,SS,SS,-6.16248958939046,44.5796780617803,105.203021349719,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25
93,Cr1 Ta1 Ti1 Nb1,TiCrNbTa,SS+IM,SS+IM,-7.3682124782447,51.0118558465562,94.5396615144698,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25
94,Cr1 Ta1 Ti1 Hf1,TiCrHfTa,SS,SS,-10.9129249460863,54.3608934134543,86.1638757768442,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25
95,Cr1 Ta1 Mo1 V1,VCrMoTa,SS,SS,-4.55935533697289,37.4123438735303,91.5041444103287,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25
96,Cr1 Ta1 Mo1 Pd1,CrMoPdTa,SS+IM,SS,-2.51673890842343,34.5368377745405,90.0117056773677,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25
97,Cr1 Ta1 Mo1 Nb1,CrNbMoTa,SS,SS,-4.11359789680854,38.1315250400279,91.9459697676952,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25
98,Cr1 Ta1 Mo1 Hf1,CrMoHfTa,SS+IM,SS,-2.78712979662645,36.7778872271123,88.0559401318604,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25
99,Cr1 Ta1 V1 Pd1,VCrPdTa,SS,SS,-3.49993945193244,35.5378065233942,98.3098531719387,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.25
100,Cr1 Ta1 V1 Nb1,VCrNbTa,SS,SS,-5.72866853364789,45.7047520663351,100.950937359733,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25
101,Cr1 Ta1 V1 Hf1,VCrHfTa,SS,SS,-7.79488394435895,48.7965541823908,92.2050124547652,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25
102,Cr1 Ta1 Pd1 Nb1,CrNbPdTa,SS,SS,-4.04438035986761,38.832257374824,99.5894591469213,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25
103,Cr1 Ta1 Pd1 Hf1,CrPdHfTa,SS,SS,-4.62992733751418,42.5427591244954,104.388335361948,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
104,Cr1 Ta1 Nb1 Hf1,CrNbHfTa,SS+IM,SS+IM,-9.4612955789325,50.5973592011222,93.4975448639828,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.25
105,Cr1 Zr1 Ti1 Mo1,TiCrZrMo,SS+IM,SS+IM,-4.97645815577117,38.4137126320897,94.7167673869157,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0
106,Cr1 Zr1 Ti1 V1,TiVCrZr,SS+IM,SS+IM,-8.00646196439809,57.4491419297316,93.4512849787351,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
107,Cr1 Zr1 Ti1 Pd1,TiCrZrPd,IM,SS,-6.57066988682095,46.3571246029762,112.722940043164,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0
108,Cr1 Zr1 Ti1 Nb1,TiCrZrNb,SS+IM,SS+IM,-12.8754709140453,60.725617253475,90.8240522953172,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0
109,Cr1 Zr1 Ti1 Hf1,TiCrZrHf,SS,SS,-13.7720147776123,60.0789598441142,134.491741994099,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0
110,Cr1 Zr1 Mo1 V1,VCrZrMo,SS+IM,SS+IM,-4.28452644297974,36.4698380906659,90.5239027833332,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0
111,Cr1 Zr1 Mo1 Pd1,CrZrMoPd,SS+IM,IM,-3.19275190403528,34.5300561173901,93.2879532866943,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0
112,Cr1 Zr1 Mo1 Nb1,CrZrNbMo,SS+IM,SS+IM,-1.71088350202393,31.2246347704918,90.7714481154429,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0
113,Cr1 Zr1 Mo1 Hf1,CrZrMoHf,SS+IM,SS,-8.06453882021162,43.5866186644331,95.4651524946597,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.0
114,Cr1 Zr1 V1 Pd1,VCrZrPd,IM,IM,-5.84857577546493,45.0712882133843,110.668921242104,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0
115,Cr1 Zr1 V1 Nb1,VCrZrNb,SS+IM,SS+IM,-7.86827025247967,54.0108272426135,96.7308225747405,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
116,Cr1 Zr1 V1 Hf1,VCrZrHf,SS,SS,-13.3186706102304,58.0484785408925,90.4108167036967,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0
117,Cr1 Zr1 Pd1 Nb1,CrZrNbPd,SS+IM,IM,-4.89793819457497,39.5345951086417,107.169171636434,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0
118,Cr1 Zr1 Pd1 Hf1,CrZrPdHf,SS,SS,-9.767408186589,51.2119160044106,117.132898571882,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0
119,Cr1 Zr1 Nb1 Hf1,CrZrNbHf,SS+IM,SS+IM,-13.0836225342134,59.6253037195948,92.6163338677516,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0
120,Cr1 Ti1 Mo1 V1,TiVCrMo,SS+IM,SS+IM,-2.99459948440793,35.1074143903643,88.7776215512039,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0
121,Cr1 Ti1 Mo1 Pd1,TiCrMoPd,SS+IM,SS,-0.914433196964004,32.0299835821607,92.8632760384998,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0
122,Cr1 Ti1 Mo1 Nb1,TiCrNbMo,SS,SS+IM,-3.56667921895495,35.20055850796,90.3497721031268,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0
123,Cr1 Ti1 Mo1 Hf1,TiCrMoHf,SS+IM,SS,-5.38439323782451,38.6959135239331,93.926641996324,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0
124,Cr1 Ti1 V1 Pd1,TiVCrPd,SS+IM,SS,-2.71683013239778,38.9217236750386,109.906373126525,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
125,Cr1 Ti1 V1 Nb1,TiVCrNb,SS+IM,SS+IM,-4.10157526864539,46.8587545195866,112.00600969458,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
126,Cr1 Ti1 V1 Hf1,TiVCrHf,SS,SS,-9.41852519954305,55.9943708209531,88.7333486247992,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0
127,Cr1 Ti1 Pd1 Nb1,TiCrNbPd,SS+IM,SS,-4.14833429372602,40.9992440069963,108.267725227872,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0
128,Cr1 Ti1 Pd1 Hf1,TiCrPdHf,SS,SS,-7.15221861039558,48.5274536808901,117.531284503948,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0
129,Cr1 Ti1 Nb1 Hf1,TiCrNbHf,SS+IM,SS+IM,-12.7660677422202,58.8832002301768,90.6276327228922,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0
130,Cr1 Mo1 V1 Pd1,VCrMoPd,SS,SS,-0.914531144368052,28.9594981521125,85.572164125656,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0
131,Cr1 Mo1 V1 Nb1,VCrNbMo,SS,SS,-2.38960839568396,32.2535351859214,93.2511394764728,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0
132,Cr1 Mo1 V1 Hf1,VCrMoHf,SS+IM,SS,-5.48722126656715,40.219164929393,90.8186998387,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0
133,Cr1 Mo1 Pd1 Nb1,CrNbMoPd,SS,SS,-1.75509405766053,32.5817909978531,87.6228402655988,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0
134,Cr1 Mo1 Pd1 Hf1,CrMoPdHf,SS,SS,-3.46707278730266,36.7448269095055,96.1382481414994,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.0
135,Cr1 Mo1 Nb1 Hf1,CrNbMoHf,SS,SS,-2.77484049944122,36.8564920409819,92.5345710498828,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0
136,Cr1 V1 Pd1 Nb1,VCrNbPd,SS+IM,SS,-1.68432802510569,32.967153538447,102.637117458345,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0
137,Cr1 V1 Pd1 Hf1,VCrPdHf,SS,SS,-6.0918119802649,46.9166998090745,114.843668323077,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0
138,Cr1 V1 Nb1 Hf1,VCrNbHf,SS+IM,SS,-8.25280466858097,52.942580637837,98.1269483173349,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0
139,Cr1 Pd1 Nb1 Hf1,CrNbPdHf,SS,SS,-4.64168637302848,42.3579118874754,109.564593543944,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0
140,Ta1 Zr1 Ti1 Mo1,TiZrMoTa,SS,SS,-8.06355107436428,48.6348319554698,91.7246320120829,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25
141,Ta1 Zr1 Ti1 V1,TiVZrTa,SS,SS,-13.2033649415106,59.8990084636793,88.3527848676684,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25
142,Ta1 Zr1 Ti1 Pd1,TiZrPdTa,SS,SS,-7.06112168989773,45.167864578351,103.333949094621,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25
143,Ta1 Zr1 Ti1 Nb1,TiZrNbTa,SS,SS,-13.1895412078889,60.9555872500719,88.2957527657052,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25
144,Ta1 Zr1 Ti1 Hf1,TiZrHfTa,SS,SS,-12.4819652545825,57.7763936402556,140.066635633768,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25
145,Ta1 Zr1 Mo1 V1,VZrMoTa,SS,SS,-2.731644988608,37.4715058018205,91.0805779448951,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25
146,Ta1 Zr1 Mo1 Pd1,ZrMoPdTa,SS,SS,-2.82848252839523,38.7915280975293,95.9156910798564,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25
147,Ta1 Zr1 Mo1 Nb1,ZrNbMoTa,SS,SS,-2.88879973910463,39.5433826752627,92.175833799318,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25
148,Ta1 Zr1 Mo1 Hf1,ZrMoHfTa,SS,SS,-7.27937860192763,45.3145499392744,89.6355507382617,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25
149,Ta1 Zr1 V1 Pd1,VZrPdTa,SS,SS,-5.29385463560951,43.2883976970546,104.354209479272,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.25
150,Ta1 Zr1 V1 Nb1,VZrNbTa,SS,SS,-10.7392625872079,55.568737065098,89.9772846032133,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25
151,Ta1 Zr1 V1 Hf1,VZrHfTa,SS,SS,-12.4498065839055,57.3441776191309,87.1434853059298,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25
152,Ta1 Zr1 Pd1 Nb1,ZrNbPdTa,SS,SS,-5.03206626446621,42.7380614124116,102.959011974676,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.25
153,Ta1 Zr1 Pd1 Hf1,ZrPdHfTa,SS,SS,-9.15572118864819,47.3196933919248,104.335861948614,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.25
154,Ta1 Zr1 Nb1 Hf1,ZrNbHfTa,SS,SS,-13.1951976764693,57.6970054092902,90.5772227112528,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25
155,Ta1 Ti1 Mo1 V1,TiVMoTa,SS,SS,-5.56125216743874,42.2064321553964,91.333694418194,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25
156,Ta1 Ti1 Mo1 Pd1,TiMoPdTa,SS,SS,-4.30406937965592,39.6201301809292,96.408471106822,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25
157,Ta1 Ti1 Mo1 Nb1,TiNbMoTa,SS,SS,-3.76979291308625,41.1474213437354,92.0116524376807,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25
158,Ta1 Ti1 Mo1 Hf1,TiMoHfTa,SS,SS,-7.25384643595519,46.3670642279532,91.4913383992713,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25
159,Ta1 Ti1 V1 Pd1,TiVPdTa,SS,SS,-7.22938395354863,46.5714450619929,105.444315316451,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25
160,Ta1 Ti1 V1 Nb1,TiVNbTa,SS,SS,-8.19888535374584,55.8836126013217,100.321417560397,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
161,Ta1 Ti1 V1 Hf1,TiVHfTa,SS,SS,-12.1588264382188,57.6618327093725,86.2742751423784,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
162,Ta1 Ti1 Pd1 Nb1,TiNbPdTa,SS,SS,-5.87034309218585,45.8055809272409,105.017432770177,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25
163,Ta1 Ti1 Pd1 Hf1,TiPdHfTa,SS,SS,-7.62083244852733,45.1814701621509,102.975272681167,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25
164,Ta1 Ti1 Nb1 Hf1,TiNbHfTa,SS,SS,-12.5066029971353,58.2682401063665,88.1568726714578,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25
165,Ta1 Mo1 V1 Pd1,VMoPdTa,SS,SS,-3.67398406862464,36.0301603781837,91.5058871690832,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.25
166,Ta1 Mo1 V1 Nb1,VNbMoTa,SS,SS,-4.70097344721036,40.5575188926745,89.4341905083356,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.25
167,Ta1 Mo1 V1 Hf1,VMoHfTa,SS,SS,-2.80141896004716,38.2958207218648,91.8959248972582,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25
168,Ta1 Mo1 Pd1 Nb1,NbMoPdTa,SS,SS,-3.12284762074156,35.483269369112,90.2141241136082,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25
169,Ta1 Mo1 Pd1 Hf1,MoPdHfTa,SS,SS,-3.1519456270786,39.867352050004,95.2850522641313,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
170,Ta1 Mo1 Nb1 Hf1,NbMoHfTa,SS,SS,-3.77021444151796,40.1278657009667,96.5071035227845,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25
171,Ta1 V1 Pd1 Nb1,VNbPdTa,SS,SS,-5.29328021761435,44.0887561729176,105.159212583987,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25
172,Ta1 V1 Pd1 Hf1,VPdHfTa,SS,SS,-5.10643930140199,43.2323769035652,103.137812934648,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25
173,Ta1 V1 Nb1 Hf1,VNbHfTa,SS,SS,-10.3986715935763,53.7777664182667,91.1832948673229,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.25
174,Ta1 Pd1 Nb1 Hf1,NbPdHfTa,SS,SS,-5.10908365129554,42.3632601943106,102.713756932852,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25
175,Zr1 Ti1 Mo1 V1,TiVZrMo,SS,SS,-6.29516178592374,45.3696900631379,93.7488479689668,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0
176,Zr1 Ti1 Mo1 Pd1,TiZrMoPd,SS,SS,-5.7949139148168,42.0039013483516,107.841852452369,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
177,Zr1 Ti1 Mo1 Nb1,TiZrNbMo,SS,SS,-5.56773698148445,47.6107991086758,96.3891559232909,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
178,Zr1 Ti1 Mo1 Hf1,TiZrMoHf,SS,SS,-9.02832880864146,50.6999367884665,127.443270775722,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0
179,Zr1 Ti1 V1 Pd1,TiVZrPd,SS,IM,-8.4746307569202,47.1311652205552,113.30034687405,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0
180,Zr1 Ti1 V1 Nb1,TiVZrNb,SS,SS,-15.8442831692491,65.0732665041813,92.0671996156964,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0
181,Zr1 Ti1 V1 Hf1,TiVZrHf,SS,SS,-14.5149069499305,61.8901295589171,138.445852883069,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0
182,Zr1 Ti1 Pd1 Nb1,TiZrNbPd,SS,SS,-7.71800135329236,46.6581361009423,110.667435480965,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0
183,Zr1 Ti1 Pd1 Hf1,TiZrPdHf,SS,SS,-10.5045282597194,53.8870197595387,147.568367866252,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0
184,Zr1 Ti1 Nb1 Hf1,TiZrNbHf,SS,SS,-14.1004891417744,61.732375547433,140.509330234871,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0
185,Zr1 Mo1 V1 Pd1,VZrMoPd,SS,SS,-3.34203750818124,38.611679817459,99.4801524748028,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0
186,Zr1 Mo1 V1 Nb1,VZrNbMo,SS,SS,-3.01331112087736,36.7574978637534,95.5037499545153,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0
187,Zr1 Mo1 V1 Hf1,VZrMoHf,SS,SS,-8.88208267140634,50.1251703134299,93.398823932985,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0
188,Zr1 Mo1 Pd1 Nb1,ZrNbMoPd,SS+IM,IM,-2.11762640827542,32.6934480916497,98.6333602799743,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0
189,Zr1 Mo1 Pd1 Hf1,ZrMoPdHf,SS,SS,-5.84388750243736,43.0332292781496,109.7431952151,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0
