Unnamed: 0,Composition,ElemSortAMU,GBTPredict,AWEMLPredict,lnPeqo,dH,dS,Al,Ti,V,Cr,Zr,Nb,Mo,Pd,Hf,Ta
646,Ta1 Zr1 Ti1 Mo1 V1 Hf1,TiVZrMoHfTa,SS,SS,-9.85297559069878,53.9344758948198,88.1600228315353,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
647,Ta1 Zr1 Ti1 Mo1 Pd1 Nb1,TiZrNbMoPdTa,SS,SS+IM,-2.78156217978322,37.0435343338754,99.8314772549336,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666
648,Ta1 Zr1 Ti1 Mo1 Pd1 Hf1,TiZrMoPdHfTa,SS,SS,-4.63490771952785,37.7519877269302,99.4001209158,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
649,Ta1 Zr1 Ti1 Mo1 Nb1 Hf1,TiZrNbMoHfTa,SS,SS,-9.85562275236513,54.1327056111467,89.3478725741676,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
650,Ta1 Zr1 Ti1 V1 Pd1 Nb1,TiVZrNbPdTa,SS,SS,-8.64602385326293,47.6041092533816,97.3160509388928,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
651,Ta1 Zr1 Ti1 V1 Pd1 Hf1,TiVZrPdHfTa,SS,SS,-8.66890012995436,45.2484376318393,90.639129202333,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
652,Ta1 Zr1 Ti1 V1 Nb1 Hf1,TiVZrNbHfTa,SS,SS,-12.8640983178445,59.6279223038763,85.9200032705767,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
653,Ta1 Zr1 Ti1 Pd1 Nb1 Hf1,TiZrNbPdHfTa,SS,SS,-8.84299819297786,46.108240007577,92.865438834689,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
654,Ta1 Zr1 Mo1 V1 Pd1 Nb1,VZrNbMoPdTa,SS,SS,-2.28642312147462,35.5060264968761,97.6367920765246,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666
655,Ta1 Zr1 Mo1 V1 Pd1 Hf1,VZrMoPdHfTa,SS,SS,-2.82626893837972,36.1538335177013,99.4019116718012,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
